row_index,country,date,total_cases,total_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,datestamp
70,Cuba,05/16/2020,1862,79,1460,323,7,165.67,7.03,79834,7103.30,2020-05-16 09:39:00.0868070 -05:00
71,Estonia,05/16/2020,1770,63,934,773,5,1345.04,47.87,68840,52312.26,2020-05-16 04:00:04.3654140 -05:00
72,DRC,05/16/2020,1370,61,229,1080,0,16.11,0.72,0,0.00,2020-05-16 03:00:05.1474800 -05:00
73,Thailand,05/16/2020,3025,56,2855,114,61,46.31,0.86,286008,4378.05,2020-05-16 00:00:04.3571980 -05:00
74,Armenia,05/16/2020,4283,55,1791,2437,10,1430.34,18.37,39005,13025.98,2020-05-16 04:00:04.3654140 -05:00
75,Lithuania,05/16/2020,1534,55,988,491,17,534.07,19.15,224040,78000.37,2020-05-16 04:00:04.3654140 -05:00
76,Somalia,05/16/2020,1357,55,148,1154,2,122.48,4.96,0,0.00,2020-05-16 13:00:06.3745410 -05:00
77,Niger,05/16/2020,889,51,689,149,0,42.92,2.46,5816,280.76,2020-05-16 16:00:04.2984810 -05:00
78,Burkina Faso,05/16/2020,782,51,604,127,0,41.08,2.68,0,0.00,2020-05-16 18:00:04.7880300 -05:00
79,Andorra,05/16/2020,761,51,615,95,3,9754.66,653.73,3750,48068.30,2020-05-16 12:00:07.1991790 -05:00
80,Kenya,05/16/2020,830,50,301,479,1,17.57,1.06,36918,781.32,2020-05-16 09:00:04.9328070 -05:00
81,Chad,05/16/2020,474,50,111,313,0,32.70,3.45,0,0.00,2020-05-16 13:00:06.3745410 -05:00
82,Mali,05/16/2020,835,48,479,308,0,46.04,2.65,3264,179.98,2020-05-16 15:00:04.8794330 -05:00
83,Tunisia,05/16/2020,1035,45,802,188,3,92.79,4.03,37862,3394.36,2020-05-15 19:00:06.7694600 -05:00
84,Channel Islands,05/16/2020,549,43,457,49,0,3229.41,252.94,5342,31423.53,2020-05-15 20:00:09.9529130 -05:00
85,San Marino,05/16/2020,653,41,198,414,1,19784.88,1242.24,3460,104832.60,2020-05-16 06:00:04.8975640 -05:00
86,Azerbaijan,05/16/2020,3138,36,1944,1158,37,322.49,3.70,226005,23226.45,2020-05-16 08:00:05.4532130 -05:00
87,Tajikistan,05/16/2020,1322,36,0,1286,0,153.84,4.19,0,0.00,2020-05-16 09:00:04.9328070 -05:00
